"catno","pit","length","midwidth","middepth","distwidth"
"1713R20","61",273,66,46,81
"1713R4","67",302,66,37,76
"1713L27","67",278,61,33,77
"1713L15","67",298,66,39,75
"1713L23","4",290,67,35,41
"1713L17","4",252,65,33,75
"1713L22","4",266,65,34,80
"1713L8","4",280,69,32,75
"1713L9","4",295,70,40,80
"1713L6","4",276,80,32,76
"1713R19","4",291,71,42,NA
"1713L17","4",281,71,33,75
"1713R1","13",286,66,31,76
"1713R11","3",282,64,40,82
"1713R7","3",292,65,42,74
"1713R14","3",279,64,25,72
"1713R16","60",277,66,32,71
"1713R15","77",287,64,34,70
"1713L12","77",285,63,36,78
"1713L19","77",296,82,41,79
"1713L5","77",294,76,38,76
"2T22","1",298,69,41,78
