SPECIMEN,PIT #,AGE,ANT-POST,WIDTH
,,,,
1451L39,3,15,135,134
1451L27,3,15,121,127
1451L18,3,15,127,129
1451L44,2,15,143,137
1451L20,2,15,139,141
1451L17,3,15,137,133
1451L3,3,15,129,132
1451L7,3,15,136,143
1451L45,3,15,128,136
1451L5,3,15,123,129
1451R1,3,15,131,135
1451R15,3,15,142,144
1451R3,3,15,123,119
1451R6,3,15,121,133
1451R27,3,15,134,147
LACMHC12114,3,15,117,104
1451R14,3,15,137,145
1451R17,3,15,129,135
1451L43,3,15,139,141
NO DATA,91,32,138,123
NO DATA,91,32,132,136
LACMHC12122,91,32,105,118
LACMHC12120,91,32,135,141
LACMHC12111,91,32,108,125
LACMHC12119,91,32,98,108
1451R44,77,35,127,126
1451R8,77,35,119,126
1451R9,77,35,112,114
1451L29,77,35,134,140
1451L11,77,35,121,137
1451L48,77,35,135,143
1451R30,77,35,126,143
1451R28,77,35,128,133
1451L22,77,35,124,131
1451L32,77,35,131,138
1451R4,77,35,117,121
1451R23,67,11,133,137
1451L6,67,11,130,137
1451R21,67,11,126,129
1451R40,61,11,129,141
1451R10,61,11,147,145
1451R37,67,11,119,124
1451L30,67,11,133,138
1451R29,67,11,129,138
1451L28,67,11,143,147
LACMHC12118,61,11,123,132
1451L37,61,11,127,138
1451R32,67,11,139,146
1451L38,67,11,147,152
LACMHC12121,17,10,120,134
LACMHC6122,57,,124,137
1451L15,60,27,131,139
1451R34,60,27,128,136
1451R12,60,27,127,136
LACMHC12110,17,10,126,136
1451L40,60,27,130,138
1451L13,60,27,122,129
LACMHC121113,17,10,139,141
1451L49,13,17,135,141
1451L7(?JUV),13,17,105,109
1451R25,13,17,126,134
1451R7,13,17,125,134
1451R45,13,17,127,133
1451L47,13,17,132,141
1451R43,13,17,135,130
1451L36,13,17,125,130
1451L33,13,17,129,138
1451L14,13,17,126,140
1451L4,4,28,139,146
1451L41,4,28,142,145
1451R33(?JUV),4,28,107,115
1451L19,4,28,132,138
1451L12,4,28,125,136
1451L10,4,28,126,120
1451R18,4,28,130,139
1451R22,4,28,132,139
1451R47,4,28,138,143
1451L25,4,28,134,143
1451R26,4,28,123,133
1451L46,4,28,127,133
1451R20,4,28,131,137
1451R16,4,28,128,139
1451L26,4,28,130,138
1451L21,4,28,133,137
1451R38,4,28,119,127
1451L23,4,28,126,131
1451R46,4,28,116,128
1451R13,4,28,127,139
,,,,
MEAN,,,128.2159091,134.2386364
STD. DEV.,,,9.138083583,9.03758985
CV,,,7.12710587,6.732480376
