Pit #,Length,Width,Depth
4,71,67.6,41.1
4,77.6,69.8,42.6
4,73.1,68.2,39.7
4,77.5,68.7,42.1
4,65.6,64.5,45.7
4,69.2,61.1,37.8
4,66.7,63.9,43.5
4,77.2,69.4,41.2
4,80.1,73.6,47.9
4,75.7,74.2,47.1
4,70.1,59.1,39
4,84.8,77.2,44.7
4,71.2,66.2,36.7
4,79.1,77.7,48.4
4,72.1,61,44
4,74.3,70,41.2
4,82.1,79.5,46.4
4,61,62.1,37.8
4,83.2,67.9,45.4
4,72.1,59.4,36.4
4,75.8,75.2,45.8
4,75.8,68.5,39.6
4,62.8,60.9,41.2
4,75.7,68.8,42.9
13,71.5,67.3,43.9
13,75.9,68.8,44.3
13,76.1,71.3,41.9
13,64,55.7,37.5
13,86.1,73.6,45
3,88.7,86.2,55
3,83.7,79.6,54.8
3,77.3,70.1,48.8
3,74.4,73.7,46.8
3,79.8,73,49.9
3,67.5,69,44.8
3,77.7,71.6,49.6
3,80,77.2,59.3
3,73.1,61.5,38.1
3,71.3,57.6,32.6
3,69.9,67.3,51.2
3,80.4,75.6,42.7
3,62.6,65.5,38.3
3,68.7,69.1,44.6
3,72.5,68.7,51.7
3,72.6,65.9,46.2
3,80.8,70.1,41.1
3,70.5,68.9,43.7
3,71.9,69.4,44.4
3,64.5,71.9,40.7
3,75.1,67.3,46.2
3,77.2,67.8,47.6
3,68.9,71.6,46.9
3,80.2,82.1,53.8
3,75.3,74.6,48.4
60,88.2,71.3,48.6
16,73.5,68.8,52
16,66.1,68.3,39
16,64.2,71.9,40.1
16,71.8,68.1,44.9
16,76.3,70.6,50.7
16,68.9,69.2,43.5
16,61.3,67.2,37.3
16,69.7,69.4,46.8
77,76.3,67.9,42.2
77,80.2,71.3,45
77,75.8,73.5,48
77,69.1,68.2,47.7
77,72.3,67.3,46.2
77,57.3,66.5,46.7
2,67.7,66.1,40.9
1,60.5,63.9,32.9
