"","x"
"1","Athene"
LENGTH
"Age.ka" "N" "Mean" "SD" "CV"
"29" 12 48.6 1.40841626078243 34.5068438594999
"18" 26 47.1076923076923 1.57833407792472 29.846464678525
"14" 3 49.2666666666667 2.25018517756502 21.894494354451
"9" 33 48.0939393939394 1.78447110405636 26.9513691113378
"0" 8 47.4875 2.59088374332554 18.3286880865782
WIDTH
"Age.ka" "N" "Mean" "SD" "CV"
"29" 12 2.85 0.173205080756888 16.4544826719043
"18" 26 2.74615384615385 0.253346828250553 10.8395035576998
"14" 3 2.6 0.1 26
"9" 33 2.76666666666667 0.207163381577601 13.3549985793716
"0" 8 2.75 0.192724822331886 14.2690493457262
DEPTH
"Age.ka" "N" "Mean" "SD" "CV"
"29" 12 2.70833333333333 0.219330938551907 12.348159138946
"18" 26 2.41153846153846 0.277599600975107 8.68711069132521
"14" 3 2.56666666666667 0.115470053837925 22.2279853638006
"9" 33 2.38484848484848 0.269398881912597 8.85248100481061
"0" 8 2.7125 0.442194204265178 6.13418261441832
